"lon","lat","unc"
-117.249213,33.031456,4
-120.555776,36.144932,3
-120.743981,36.357706,13
-97.728003,30.506713,21
-97.725756,30.503902,22
-97.727067,30.500608,64
-98.469545,29.647096,7
-97.729605,30.506778,8
-117.249838,33.030889,5
-117.751785,33.604196,34
-117.750937,33.59932,40
-97.729605,30.506753,9
-97.72957,30.506833,20
-118.36329,33.350585,7
-118.3547,33.364096,10
-118.363271,33.359828,375
-110.952965,32.227772,NA
-97.463185,31.22139,8
-117.221588,32.927463,4
-98.374767,29.674356,3
-98.352574,29.687236,4
-98.504193,29.819588,15
-97.727471,30.504487,20
-98.268683,30.077958,3
-98.067454,29.66973,4
-98.472728,29.606834,3
-118.477988,32.895375,2
-98.387865,29.84133,3
-117.843377,33.640708,5
-98.387838,29.841357,5
-117.945738,34.121161,3
-117.946305,34.119808,3
-122.109428,37.970295,5
-117.843354,33.640811,6
-97.781258,30.284192,4
-117.949212,34.118481,8
-98.629174,29.864825,2
-97.727119,30.500339,20
-117.708273,33.463826,21
-98.073994,30.620683,97
-99.743988,29.588562,4
-98.237372,30.462197,4
-118.295853,33.781467,4
-102.154497,32.012991,NA
-97.781819,30.284338,254
-117.950675,34.117614,3
-98.565289,29.575771,NA
-98.490037,29.401637,2
-98.352531,29.687296,3
-98.439306,29.608195,28
-117.950805,34.118064,3
-117.946315,34.119807,4
-97.646138,30.2361,4
-98.481133,29.46024,7
-98.400123,29.918369,6
-117.843286,33.640702,6
-117.948897,34.118664,8
-118.430417,33.363667,NA
-98.596102,29.595909,NA
-98.62115,29.587825,9
-117.674903,33.875245,7
-98.717921,29.970493,171
-117.9514,34.11527,2
-117.939462,33.662256,7
-117.873153,33.65025,4
-117.743259,33.668979,71
-98.48122,29.460854,26
-97.342225,31.496417,3
-98.718788,29.97032,10
-118.412305,33.749185,4
-99.722084,29.567602,47
-106.16555,31.687762,4
-118.201106,34.099075,6
-117.031368,33.039421,8
-99.417361,29.989869,8
-106.269395,31.790909,12
-97.582944,31.773464,NA
-98.5011,29.648722,7
-98.630683,29.61592,6
-98.608442,29.596762,4
-98.351333,29.687488,24
-97.833049,30.187377,6
-97.832951,30.187715,46
-97.799393,30.610541,8
-97.299031,31.287199,10
-98.544118,29.578146,18
-98.645268,29.515803,6
-98.529668,29.551924,6
-98.320675,29.64255,5
-97.424579,31.016635,182
